id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
811,para a minha saude e a do planeta,escola_universidade,saude,"opcões proteicas mais saudaveis e praticas. por exemplo, que nao sejam embutidos vegetais",mulher_cis,branca,doutorado
812,"eu sou na realidade um vegetariano que quando realmente nao tem nenhuma opcao proteica digna, come carne nao compro carne",outros,saude,"a dificuldade de fazer receitas gostosas vegetarianas, a variedade de alimentos e a variedade de fontes proeicas",homem_cis,branca,superior
813,porque consumo carne vermelha exporadicamente e reduzo o maximo possivel o consumo de outras carnes de origem animal,outros,saude,acredito que o organismo ai da peca de vez em quando.,mulher_cis,branca,superior
814,preco dos substitutos vegetais,meus_pais,etica_animal,preco,mulher_cis,branca,superior
815,pois raramente como carne vermelha,outros,impacto_ambiental,preco dos produtos mais orgânicos,homem_cis,preta,doutorado
816,Vontade de ser vegano sem abandonar a praticidade que consumir carne traz em certas situacões,midias,saude,eventos sociais onde carne e oferecida como principal alternativa alimenticia,homem_cis,pnr,superior
817,"porque eu nao tenho dinheiro para comprar carnes, como eu fazia antes",outros,religiao,nenhuma,mulher_cis,indigena,superior
818,"porque costumo refletir sobre os maus tratos aos animais, porem ainda nao consigo eliminar das refeicões",essa_pesquisa,impacto_ambiental,a comida que se produz em casa.,mulher_cis,branca,superior
819,sim pois nao estou me adaptando mais a comer carne vermelha,midias,aversao,nenhuma,mulher_cis,branca,doutorado
820,come peixe e estou tentando parar,essa_pesquisa,etica_animal,gostar do sabor,mulher_cis,branca,superior
821,"na minha alimentacao cotidiana nao incluo carne de origem animal consumo esse tipo de alimento mais pela memoria afetiva disso (quando minha mae vem ate minha casa e cozinha, o que acontece 1x a cada 2 meses) ou porque estou num local em que nao ha nenhuma opcao vegetariana mas preferencialmente nao consumo",amigos,saude,escassez de estabelecimentos que vendam produtos vegetarianos/veganos.,mulher_cis,branca,superior
822,busco cada vez mais reduzir o que posso de carne animal na alimentacao ou consumi-las de maneira sustentavel,midias,impacto_ambiental,consumo no ambiente familiar,mulher_cis,branca,doutorado
823,porque substituo a carne por outras opcões vegetais,escola_universidade,aversao,nenhuma,mulher_cis,branca,superior
824,"nao conhecia o termo ate essa pesquisa, mas decidi reduzir o consumo por bem estar fisico (digestao lenta da carne)",amigos,saude,aprender novos preparos,mulher_cis,parda,mestrado
825,nao,outros,saude,"substitutos acessiveis e baratos e que nao prejudiquem a saúde, que nao sejam ultra processados",homem_cis,branca,superior
826,ha 2 anos eliminei o consumo de carne vermelha,essa_pesquisa,aversao,"preocupacao com a saúde, pois nao organizei ainda um cardapio alimentar balanceado, com substituicao por outra proteina.",mulher_cis,branca,mestrado
827,porque tento diminuir o consumo de carne e nao faco consumo todos os dias da semana,outros,impacto_ambiental,interagir socialmente,mulher_cis,branca,doutorado
828,nao,midias,impacto_ambiental,nenhuma,mulher_cis,branca,mestrado
829,"porque eliminei completamente carnes de boi, frango, porco, mas ainda consumo peixe em frequencia bem baixa, mas ainda consumo",midias,impacto_ambiental,"tempo para preparar meus alimentos, para fugir da conveniencia e prezar pela sustentabilidade, nutricao, regeneracao.",mulher_cis,branca,superior
830,por respeito a vida animal,midias,etica_animal,a associacao com o sofrimento animal,homem_cis,branca,doutorado
831,apenas porque optei reduzir,midias,impacto_ambiental,nenhuma,mulher_cis,branca,medio
832,porque procuro algumas vezes na semana substituir alimentos de origem animal na minha refeicao,outros,saude,"opcões viaveis para substituir no dia a dia, pois restaurantes e fast foda nem sempre tem opcões variadas para substituir.",homem_cis,parda,medio
833,"decidi reduzir o consumo de carne porque desde crianca acho uma forma de maustratos aos animais, mas nao tive opcao de tirar de vez, pois sou de familia pobre, ao conhecer minha namorada que tive mais acesso a reduzir o consumo a quase zero, as vezes ainda como porque nao tenho outra opcao em casa, tenho um metabolismo muito rapido e a dieta que a nutricionista passou tem muito frango, mesmo assim tento reduzir meu corpo e muito magro e fraco, fica mais dificil de adentrar ao vegetarianismo sem condicões financeiras, pois dependo de um familiar pra me alimentar",midias,impacto_ambiental,financeira,pnr,branca,medio
834,toda a semana eu evito comer carne nem que seja em um dia inteiro ou uma refeicao no dia,outros,impacto_ambiental,"minha familia, pois eles nao sentem vontade de diminuir o consumo de carne igual eu sinto.",mulher_cis,branca,superior
835,porque optei por nao excluir peixes e camarao da dieta,midias,etica_animal,"tempo para cozinhar, opcões acessiveis em restaurantes, vida social",mulher_cis,amarela,superior
836,"pois decidi nao comer mais carne vermelha e embutidos, mas decidi manter o consumo de frango e peixe, e, atualmente, nao tenho a intencao de progredir para uma dieta vegetariana",escola_universidade,saude,"a comensalidade, muitas vezes as pessoas nao entendem porque eu nao como apenas alguns tipos de carnes.",mulher_cis,parda,medio
837,a carne nao faz muita faltanao faz uma boa digestao,amigos,aversao,falta de outras opcoes,mulher_cis,parda,medio
838,"me considero socialmente carnivora nao tenho carne vermelha ou frango em casa ha 7 anos as vezes compro presunto/linguica/salsicha quando saio, como o que tenho vontade ja fui vegetariana, mas parei a maioria dos meus amigos e vegetariano ou vegano, se saio com eles acabo comendo as opcões veganas tbn",escola_universidade,etica_animal,nao querer reduzir,mulher_cis,branca,mestrado
839,"nao me considero, adoro uma carne bem feita",outros,etica_animal,comodismo e sabor,mulher_cis,preta,superior
840,porque consumo carne de animais em poucas refeicões,midias,impacto_ambiental,encontrar fontes de proteina alternativas,mulher_cis,branca,superior
841,"reduzi drasticamente o consumo de carne no meu dia a dia, mas aindo como em momentos de confraternizacao social com pessoas nao vegetarianas/veganas",midias,impacto_ambiental,pessoas ao meu redor que ainda consomem so carne,mulher_cis,branca,mestrado
842,eu nao gosto tanto de carne,midias,aversao,nenhuma,mulher_cis,branca,mestrado
843,porque como carne poucos dias na semana,amigos,saude,comer na casa de outras pessoas que nao sao flexitarianas.,mulher_cis,branca,medio
844,porque busco nao ter proteina animais no maximo de refeicões que consigo,midias,impacto_ambiental,falta de conhecimento sobre fontes diversas de proteinas que nao sejam tao caloricas,mulher_cis,branca,superior
845,"nem sabia que existia esse termo, deixei de
comer por nao processar muito bem a carne vermelha",outros,saude,nenhuma,mulher_cis,branca,superior
846,porque nao faco questao de ter carne nas principais refeicões do dia e com frequencia as dispenso,amigos,saude,a busca por orientacao de como substituir a porcao de carne na refeicao,mulher_cis,branca,superior
847,porque toda semana procuro nao comer carne ao menos um dia,outros,impacto_ambiental,sabor e maior poder de saciedade e maior tempo com energia,homem_cis,branca,mestrado
848,porque nao como nada de carne 1 vez na semana e tento diminuir o consumo nos outros dias,meus_pais,impacto_ambiental,nenhuma,mulher_cis,parda,mestrado
849,"diminuo o consumo de carne pois acredito que a criacao de animais para consumo e cruel e contribui para o devastacao de biomas naturais, dessa forma compro frango, peixe e ovos orgânicos que sei da suavprocedencia, alem de diminuir a minha frequencia de vezes e a porcao comida em cada refeicao",midias,impacto_ambiental,"preco dos alimentos industrializados, pre preparados sem carne devido a uma rotina corrida.",mulher_cis,branca,superior
850,"por ser adepta as causas animais e por fazer dieta para doenca renal crônica (necessidade de baixo consumo de proteina, principalmente carne vermelha)",midias,etica_animal,tendencia a comer por praticidade (o que esta disponivel ou ja pronto),mulher_cis,branca,superior
851,nao,midias,aversao,"a crenca de que a carne da ""sustância"", que e essencial.",mulher_cis,branca,mestrado
852,porque optei por reduzir o consumo de carne,amigos,saude,financeira,homem_cis,preta,superior
853,como pouca carne e e comum fazer refeicões sem carne,escola_universidade,impacto_ambiental,nenhuma,mulher_cis,branca,doutorado
854,porque reduzi o consumo de carne,outros,religiao,as propostas de nutricionistas sempre incluem carne de algum tipo,mulher_cis,branca,superior
855,"porque nao me agrada a indústria de carnes, porque flexibiliza a dieta acredito ser saudavel reduzir o consumo de carnes para mim e para o planeta",outros,etica_animal,gostar do sabor,mulher_cis,branca,superior
856,porque reduzir voluntariamente a quantidade de carne consumida,escola_universidade,impacto_ambiental,"preco de cogumelos, leguminosas difetentes",mulher_cis,branca,mestrado
857,"porque eu fui obrigada a reduzir o consumo de carne devido ao aumento do preco dos alimentos, e tambem porque vi que reduzir o consumo de carne (comer menos vezes por semana) ja ajuda o meio ambiente entao adotei o dia sem carne na alimentacao",midias,impacto_ambiental,nenhuma,mulher_cis,parda,medio
858,porque reducao a quantidade de consumo de produtos de origem animal,outros,impacto_ambiental,planejamento alimentar. pois pra reduzir o consumo e necessario realizar uma programacao de preparo de comida.,mulher_cis,branca,superior
859,me esforco pra fazer refeicões sem carne e reduzi bastante o consumo de carne vermelha,midias,saude,habitos sociais e memoria afetiva,mulher_cis,branca,superior
860,"eu parei de comer carne no geral ja tem quase 3 anos, porem ainda me pego comendo frutos do mar, entao apesar de ter reduzido o consumo de alguns animais, ainda nao conseguir tira-los completamente da meu ha alimentacao, fora que ainda consumo ovos e laticinios no geral",midias,impacto_ambiental,substitutos caros ou de difícil acesso,mulher_cis,branca,mestrado
861,confesso que conheci o termo nessa pesquisa,outros,saude,conhecimento de outras fontes de proteina,homem_cis,preta,mestrado
862,eu nao me considero fui convivendo com pessoas que nao comem e fui observando que alimentacao com menos ingestao de carne me faz eu me sentir mais saudavel,midias,saude,vontade de comer,mulher_cis,amarela,doutorado
863,nao gosto muito de carne e o financeiro e muito alto,escola_universidade,impacto_ambiental,falta de opcoes ao comer fora,mulher_cis,branca,superior
864,"queria parar com a carne vermelha para diminuir minha ""pegada"" no mundo ainda nao parei totalmente porque consumo bacon de vez em quando mas um dia chego la",midias,impacto_ambiental,"falta do gosto defumado. alem disso, ainda ha dificuldade na interacao social, ao ir comer com amigos e principalmente a familia",mulher_cis,branca,superior
865,identificacao com a definicao,midias,impacto_ambiental,desconhecimento de opcões acessiveis,homem_cis,branca,superior
866,reduzi consumo de carne,midias,saude,substitutos,homem_cis,preta,doutorado
867,"evito comer carne ao maximo, alem disso, estou buscando diminuir o consumo de laticinios e processados de origem animal so como frango em situacões excepcionais como, festas, eventos e lanches de rua, coisa que nao acontece com frequencia",essa_pesquisa,impacto_ambiental,"a falta de conhecimento sobre receitas fora da dieta padrao de quem come carne. e, a falta de acessibilidade/variedade de produtos que possam substituir a carne nos supermercados.",mulher_cis,branca,mestrado
868,tento evitar consumo de carne nas segundas e sextas feiras,escola_universidade,saude,habito alimentar,mulher_cis,branca,doutorado
869,"embora nunca tive alto o consumo de carne, esse nome pode facilitar para auto-referencia aos outros",midias,religiao,convivio com quem come e gosto saboroso das carnes que ainda consumo,homem_cis,branca,doutorado
870,religiao e textura da carne na mastigacao,meus_pais,saude,"quando a única opcao vira comprar peixes, o preco nao e tao acessivel",homem_cis,branca,superior
871,sim,essa_pesquisa,saude,habitos sociais,homem_cis,branca,superior
872,porque ha anos nao como carne vermelha,midias,etica_animal,"eu nao cozinho, entao fica dificil viver apenas com as proteinas vegetais prontas",mulher_cis,branca,superior
873,nao como carne vermelha nem de porco por opcao ha 3 anos,outros,impacto_ambiental,preco dos substitutos,mulher_cis,branca,medio
874,"com o passar dos anos, venho gradativamente diminuindo o consumo de carnes",amigos,saude,preco dos substitutos,homem_cis,parda,superior
875,por exercer em semanas alternadas o consumo de carne,midias,impacto_ambiental,"manter a constância em preparacao refeicões, dada a rotina e opcões sem carne em restaurantes e afins.",mulher_cis,branca,superior
876,nao penso em deixar de comer carne porque gosto e ainda acho importante fonte de energia entretanto sou adepta do “menos e mais” acho um absurdo a “producao exagerada” de carnes que visa apenas o lucro cada vez maior,essa_pesquisa,impacto_ambiental,nenhuma,mulher_cis,branca,superior
877,"por motivos relacionados a questao ambiental, de saude e sustentabilidade",meus_pais,impacto_ambiental,habito alimentar e vontade de comer,mulher_cis,parda,doutorado
878,"gosto de comer peixes e frutos do mar em ocasiões especiais, e um ritual afetivo que me conecta com os ancestrais pescadore 
como por exemplo leguminosas que foram cozidas com carne, quando vou a casa de familiares, amigos e restaurantes ñ vegetarianos, mesmo retirando a carne amo pirao e sempre quando vou a um lugar que tem ñ resisto, e porque acho que a flexibilidade e uma caracteristica da vida e a rigidez da morte, ja fui fundamentalista, rigido, e perdia muitos momentos legais de sociabilidade, entao aprendi a perdoar as excecões, ser flex me possibilita uma vida mais biodiversa e interessante",amigos,saude,nenhuma,homem_cis,indigena,superior
879,sofrimento animal no processo de criacao e a exploracao de maneira desordenada,amigos,etica_animal,vitamina b12,homem_cis,parda,superior
880,porque consumo poucas carnes em geral,essa_pesquisa,saude,falta de apoio em casa,mulher_cis,parda,mestrado
881,"porque prefiro evitar no maximo o consumo de carne, e quando o faco diminuio a quantidade de carne e incremento de vegetais",essa_pesquisa,saude,"falta de oferta de comida vegetariana economica e de facil acceso, junto com o entorno pessoal (familia e amigos) que tende a consumir bastante carne.",homem_cis,parda,doutorado
882,"naturalmente, nao gosto de carnes",midias,etica_animal,nenhuma,mulher_cis,preta,superior
883,"porque ha quase 30 anos deixei de comer carne vermelha, procuro comer frango caipira comboa alimentacao e peixe",amigos,saude,nenhuma,mulher_cis,parda,superior
884,"pois eliminei a compra da maior parte de bichos,so tenho utilizado o que recebo ou ja estava no meu congelador so compro frutos dos mar, pois e dificil pra mim ainda largar",midias,etica_animal,"boa parte dos restaurantes que costumava consumir nao tem opcões gostosas e sem bichos (salada nao conta), tenho reaprendido a visitar outros lugares. se depender so do que cozinho esta tudo de acordo, mas quando tenho visitas costumo me adequar a eles",mulher_cis,preta,doutorado
885,sou adepta a segunda sem carne,midias,saude,habito alimentar,mulher_cis,parda,superior
886,"porque ainda sinto uma certa dificuldade em fazer a transicao total para o vegetarianismo mas sei que a diminuicao do consumo de carne, mesmo que parcial, e importante pra preservacao do planeta e reducao da crueldade animal",midias,etica_animal,"ausencia de opcoes vegetarianas em restaurantes, seletividade para proteinas vegetais e memoria afetiva",mulher_cis,parda,medio
887,porque procuro uma alimentacao mais leve e na minha opiniao comer carne nao e sinônimo de longevidade,essa_pesquisa,saude,ver as outras pessoas da familia comendo carne. e nao ter mais opcões de vegetais na mesa.,homem_cis,branca,mestrado
888,"porque em alguns dias semana, nao como derivados de animal",escola_universidade,impacto_ambiental,gostar do sabor,mulher_cis,preta,mestrado
889,porque decidi reduzir consideravelmente meu consumo de carne,midias,religiao,aumento no consumo de carboidratos,mulher_cis,parda,medio
890,"porque reduzi o consumo de carnes porque acredito ser possivel ter manter uma boa saude e curar enfermidades com menos carnes , assim como reduzir os impactos que o consumo de carnes em excesso provocam no meio ambiente e para os animais",midias,etica_animal,que os familiares acompanhem essa dieta,mulher_cis,amarela,superior
891,"nao consumo carne com frequencia, prefiro peixe, ovo, soja",escola_universidade,saude,nenhuma,mulher_cis,preta,superior
892,"nao me preocupo com o rotulo, so estou reduzindo o consumo de carne",outros,impacto_ambiental,familia,homem_cis,branca,superior
893,"Venho de uma familia que tem um frigorifico, ja vi cenas horriveis com animais e nao gosto desde pequena do gosto de carne exceto peixes",midias,aversao,fazer as substituicoes adequadas pra manter a dieta balanceada,mulher_cis,branca,superior
894,porque acho desnecessario o volume de proteina animal ingerido convencionalmente pelas pessoas,escola_universidade,etica_animal,alcance de proteinas,mulher_cis,branca,superior
895,"por conseguir reduzir o consumo da carne ao longo da semana, ha cerca de quatro meses, e gostar dessa mudanca, com isso pretendendo continuar com essa adaptacao alimentar",midias,saude,"dificuldade na hora do preparo (modos de preparar, temperos adequados) de alimentos que a substituem.",mulher_cis,parda,superior
896,por uma associacao entre saude e respeito aos animais,midias,impacto_ambiental,a falta de oferta nos cardapios,mulher_cis,branca,superior
897,sim,midias,etica_animal,"suplementar corretamente a dieta, saber cozinhar e falta de financeiro",mulher_cis,branca,medio
898,"porque tento reduzir o consumo de carne, e nao como em algumas refeicões",escola_universidade,impacto_ambiental,gostar do sabor,mulher_cis,branca,superior
899,"eu gostaria de ser vegetariana, mas no momento nao consigo cozinhar muito, acabo comendo marmita com carne",midias,impacto_ambiental,"nao tenho muito tempo para me dedicar a cozinhar minhas proprias refeicões, comida sem carne de facil acesso e valor acessivel.",mulher_cis,branca,mestrado
900,porque diminui o consumo de carne e com o tempo perdi totalmente o habito,escola_universidade,saude,substituir,mulher_cis,parda,mestrado
901,sim,midias,etica_animal,vontade de comer carne,homem_cis,branca,superior
902,nao gosto de carne,outros,aversao,nenhuma,mulher_cis,parda,mestrado
903,sim,escola_universidade,religiao,dificil acesso de opcões em restaurantes,mulher_cis,preta,medio
904,"eu tive a experienica de ser vegana por sete meses, foi incrivel a visualizacao desse estilo de vida, porem eu so faco o basico para mudar um pouco o meu habito alimentar, como comer carne de soja, lentilha refogada, berinjela, abobrinha, grao de bico e etc apenas preciso aprender a fazer diversos pratos para que eu possa consumi-los no meu dia a dia, como hambúrguer de grao de bico, ervilha e etc",midias,etica_animal,"preparar pratos veganos, como hambúrgueres, tofu e etc",mulher_cis,branca,superior
905,por tentar melhorar a alimentacao e comer menos carne vermelha,midias,saude,vontade de comer carne,mulher_cis,branca,superior
906,porque evito comer devido a crueldade associada,amigos,etica_animal,"conseguir substituir a proteina, para poder parar de comer definitivamente",mulher_cis,branca,superior
907,porminha saude e pelas condicões de criacao dos animais,outros,saude,opcões de receitas que eu saiba fazer,mulher_cis,branca,mestrado
908,pelo conhecimento que venho adquirindo cerca das provaveis doencas que vem de peixes e outros animais que nao sao criados com higiene,midias,saude,o preco das refeicões,mulher_cis,preta,medio
909,"nao tenho auto-controle suficiente para ser vegetariano/vegano, mas acredito que diminuir o consumo ja tem um impacto relevante",amigos,impacto_ambiental,abrir mao do prazer em comer alguns preparados com carne.,homem_cis,indigena,doutorado
910,porque retirei a carne pelo menos umas 2x/semana,midias,etica_animal,ter mais legumes e verduras de qualidade no nordeste,mulher_cis,parda,doutorado
911,"porque deixei de comer carne vermelha (ou qualquer bicho de 4 patas) ha 35 anos, e so como frango de vez em quando e peixe sempre que posso",essa_pesquisa,saude,nenhuma,mulher_cis,parda,superior
912,porque diminui o consumo mais ainda no consegui para de comer carne,midias,impacto_ambiental,nao encontrar um substituto to saboroso quanto,mulher_cis,parda,superior
913,"nem sempre quero comer carne, ja e um costume desde a infância",escola_universidade,aversao,financeira,mulher_cis,parda,mestrado
914,porque acho importante nao incentivar a indústria que a criancao de animais se tornou,amigos,etica_animal,habito alimentar e cultura,homem_cis,branca,doutorado
915,"por entender toda a gama de problemas ecologicos causados pela ""producao"" de carne (especialmente a bovina) no pais, bem como o tratamento que muitos animais recebem ate chegar ao meu prato",midias,impacto_ambiental,influencia familiar,homem_cis,branca,medio
916,porque decidir reduzir o consumo de carne,amigos,saude,acesso a informacao de opcões de proteina vegetal para substituir a proteina animal,homem_cis,branca,superior
917,educacao alimentar apos ganho de peso e uma sindrome autoimune,essa_pesquisa,saude,falta de praticidade em congelamento e voltar as mesmas caracteristicas ao ser descongelado e aquecedor ao micro-ondas,homem_cis,parda,mestrado
918,porque comer carne todo dia enjoa,escola_universidade,saude,habito alimentar,mulher_cis,preta,superior
919,porque reduzir o consumo de carne ha muitos anos mas 1 ou 2 vez por mes consumo,essa_pesquisa,saude,nenhuma,mulher_cis,parda,superior
920,"porque nao consumo nenhum tipo de carne(suina, bovina, frango e outros), mas ainda consumo peixe exporadicamente",escola_universidade,etica_animal,gostar do sabor e dificuldade de encontrar substituto,mulher_cis,parda,superior
921,dois anos que diminuir o consumo de carne,midias,impacto_ambiental,opcões em restaurantes e supermercados,mulher_cis,parda,superior
922,"e algo natural, nao sinto necessidade de carne no meu dia a dia",midias,saude,nenhuma,mulher_cis,preta,superior
923,"porque depois da cirurgia bariatrica sinto a carne vermelha muito pesada, e reduzi consumo!",midias,saude,financeira,mulher_cis,branca,superior
924,porque venho reduzindo o consumo de carnes animais por vontade propria,midias,etica_animal,habito alimentar,mulher_cis,parda,superior
925,"sim, mas nao conhecia o conceito",outros,saude,"habito alimentar, falta de opcoes em restaurantes e supermercados e custo dos substitutos",homem_cis,parda,doutorado
926,"eu nao preparo carnes, mas a rua e socializando acabo comendo um pouco",outros,impacto_ambiental,socializacao e encontrar opcões fora de casa,mulher_cis,branca,superior
927,melhora do corpo,outros,saude,gostar do cheiro,mulher_cis,branca,mestrado
928,porque as vezes como carne mas nao gosto e algo cultural que me pega,escola_universidade,etica_animal,ambientes que nao tem opcões vegetariana,homem_cis,branca,mestrado
929,porque sempre que posso nao como carne e tento me politizar sobre a causa,midias,etica_animal,"facilidade de encontrar esse tipo de alimentacao fora de casa, relacionando com as opcões vegetarianas",homem_cis,branca,mestrado
930,porque nao sou radical,midias,saude,familia,mulher_cis,branca,superior
931,"porque nao sinto falta se passar o dia vegetariana e porque sei que consumo menos carne do que a media, mesmo nao sendo mais vegetariana",midias,aversao,social,mulher_cis,branca,medio
932,porque eu diminui muito o consumo de carne por estar caro e por pesar na digestao,midias,saude,substituir por proteina vegetal.,mulher_cis,branca,medio
933,antigamente comia carne vermelha diariamente,amigos,etica_animal,nao conhecer suficientemente reposicao de proteina e costume,mulher_cis,branca,doutorado
934,nao sou,outros,impacto_ambiental,XX,pnr,parda,medio
935,"porque cortei quase todas as carnes da dieta, comendo alimentos de origem vegetal durante a maior parte da semana desde 2016, sendo os alimentos de origem animal que ingiro apenas ovos e frutos do mar ocasionalmente",amigos,etica_animal,falta de oferta de opcões vegetarianas ou veganas em estabelecimentos,homem_cis,branca,superior
936,porque ainda nao consegui deixar de consumir animais completamente,midias,etica_animal,oferta de proteinas substitutivas de carnes de animais e os valores,mulher_cis,branca,mestrado
937,"porque nao sinto a necessidade de comer carne todos os dias, pesa muito",meus_pais,saude,comer outros alimentos que tenham o tanto de proteina,mulher_cis,branca,superior
938,"estou reduzindo meu consumo de carne, ha alguns meses, chegando a 3 ou mais refeicões semanais sem carne",amigos,etica_animal,gostar do sabor e custo dos vegetais,mulher_cis,branca,superior
939,"por ter problemas de estômago, articulares e gostar muito de uma alimentacao mais natural",meus_pais,saude,XX,mulher_cis,parda,superior
940,"nao consumo carne de boi nem de frango, apenas peixe quando posso, tambem opto por pratos sem carne, incluindo peixe, especialmente em restaurantes",midias,impacto_ambiental,"repor os nutrientes da carne de forma natural e nao artificial, o que torna os pratos mais complicados de se fazer, especialmente nao sendo a responsavel por cozinhar em casa.",mulher_cis,branca,superior
941,considero que meu consumo de carne diminuiu consideravelmente,midias,etica_animal,gostar do sabor,mulher_cis,pnr,doutorado
942,porque excluo conscientemente carne principalmente vermelha em pelo menos 1 refeicao ao dia,escola_universidade,impacto_ambiental,habito alimentar,mulher_cis,parda,superior
943,porque diminui o consumo de carne vermelha como resultado do climaterio,amigos,aversao,comensalidade e gostar do sabor,mulher_cis,parda,doutorado
944,"por causa de todo o contexto politico e critico sobre as diversas situacões que se encontra o pais o a reducao do consumo de carnes nos dias atuais e mais como um ato de resistencia devido a isso, procuro um consumo consciente da carne que chega a minha mesa",escola_universidade,impacto_ambiental,substituicões e a adaptacao,mulher_cis,parda,superior
945,porque passo a mim alimentar com comidas saudaveis,outros,etica_animal,nenhuma,mulher_cis,branca,medio
946,porque reduzi o consumo de carne em comparacao ao meu padrao de consumo,escola_universidade,saude,sociabilidade,mulher_cis,branca,doutorado
947,conheci o termo com a pesquisa diminui o consumo de carne porquestoes filosoficas,outros,etica_animal,alimentos substitutos,homem_cis,branca,superior
948,questoes eticas e ambientais,escola_universidade,impacto_ambiental,gostar de comer carne,mulher_cis,branca,mestrado
949,"nunca fui de consumir muita carne primeiro, porque minha religiao, judaismo, restringe o consumo de carnes de determinados animais, como o porco, e as carnes apropriadas para o consumo precisam passar por controles rigidos que vao desde a criacao do animal ate o preparo segundo, sempre achei mais pratico usar proteinas como o ovo e etc na alimentacao",outros,religiao,as proteinas alternativas que nem sempre sao boas,homem_cis,branca,superior
950,"tento evitar o consumo de carne e modificar minha alimentacao, ja que nao consigo de vez parar de comer carne",outros,etica_animal,substituicao de alimento,mulher_cis,branca,superior
951,pela causa animal,midias,etica_animal,nenhuma,mulher_cis,branca,superior
952,"porque nao me sinto bem ao comer carne vermelha com frequencia (causa ma digestao, gases, refluxo, colicas) e porque quero comer mais saudavel",amigos,aversao,"encontrar alternativas sem carne em restaurantes self-service e lanchonetes. poucos tem prato sem carne, e quando tem, muitas vezes nao e saborosa.",homem_cis,parda,superior
953,"sim, porque evito consumo de carne (qualquer tipo) em uma das grandes refeicões diarias",escola_universidade,impacto_ambiental,cultura,mulher_cis,branca,doutorado
954,"nao gosto de consumir carne, e prefiro qualquer outra opcao alem da carne, porem nao me torno vegetariana/vegana pois moro sozinha e normalmente como o que e possivel",escola_universidade,impacto_ambiental,financeira,mulher_cis,branca,superior
955,segundas sem carne alem de apreciar muito as comidas vegetarianas e veganas,amigos,etica_animal,ambiente de trabalho,mulher_cis,branca,superior
956,"nao gosto da digestao, considero uma carne dificil de digerir",outros,saude,nenhuma,mulher_cis,parda,superior
957,condicões financeiras,escola_universidade,impacto_ambiental,criacao de meus pais e familiares,homem_cis,preta,superior
958,"eu tenho a meta de nao consumir carne de nenhuma forma, e estou comecando aos poucos",midias,impacto_ambiental,habito alimentae,homem_cis,branca,superior
959,porque excluo carnes do jantar e as vezes almoco,essa_pesquisa,etica_animal,preparar refeicões vegetarianas gostosas,mulher_cis,parda,medio
960,preco da carne,meus_pais,saude,nao conseguir comer sempre ovo,mulher_cis,branca,medio
961,para ter um estilo de vida mais sustentavel para o planeta,escola_universidade,impacto_ambiental,"preco das proteinas de origem vegetal de qualidade, pois o consumo de soja na verdade e terrivel pro meio ambiente, entao evito comer soja.",mulher_cis,branca,superior
962,devido a questoes ambientais e sociais,midias,impacto_ambiental,manter o habito em casa quando ha outros familiares,homem_cis,branca,superior
963,nao como muita carne e fico enjoado quando como um pouco a mais do o que como normalmente,outros,etica_animal,nao morar sozinho,homem_cis,parda,superior
964,"sim Venho reduzindo o consumo, por nao gostar mais do sabor de algumas carnes",midias,aversao,"minha habilidade culinaria em saber cozinhar e criar pratos com frutas, legumes e verduras",pnr,parda,superior
965,"ha alguns anos passei a reduzir o consumo de carne no geral, quando como e em pouca quantidade",midias,impacto_ambiental,opcões para substituir sem ser soja e tofu que nao gosto do sabor,mulher_cis,branca,superior
966,pois quero reduzir cada vez mais o meu consumo de carnes,midias,etica_animal,habito alimentar,mulher_cis,branca,medio
967,algo natural que aconteceu,outros,etica_animal,nenhuma,homem_cis,preta,medio
968,nao consigo colocar em palavras,midias,impacto_ambiental,tempo,homem_cis,branca,superior
969,"porque decidi reduzir o consumo de carne bovina, devido as mudancas climaticas",midias,impacto_ambiental,dificuldade de encontrar substitutos faceis e baratos,homem_cis,preta,doutorado
970,por nao consumir carne com certa frequencia e preferir outros tipos de proteina,midias,impacto_ambiental,a carne e muito difundida e esta presente em muitos lugares e eventos. isso torna dificil evita-la,homem_cis,branca,medio
971,a cada ano que se passa meu consumo de carne vem diminuindo mais,midias,saude,falta de diversidade nos lanches sem carnes para delivery,mulher_cis,branca,superior
972,porque reduzo o consumo,amigos,etica_animal,conforto e memorias afetivas,mulher_cis,branca,superior
973,porque tenho ampliado meu paladar para um consumo mais saudavel e que nao dependa exclusivamente de inserir proteina animal,essa_pesquisa,impacto_ambiental,"tempo para dedicar a elaborar receitas que nao incluam proteina animal, preco de alguns itens do universo veg e tambem por ainda gostar de determinadas proteinas animais",homem_cis,branca,superior
974,"sempre soube que carne nao fazia muito bem pra saude, depois que os precos aumentaram absurdamente, foi quando eu decidi parar",midias,saude,nenhuma,homem_cis,preta,superior
975,sim,essa_pesquisa,impacto_ambiental,gostar do sabor e pouco conhecimento sobre variedades de fontes de proteinas,mulher_cis,branca,medio
976,pois como alem de carne como as vegetarianas,amigos,saude,"variedades nas opcões vegano e o preco dos alimentos vegano, tudo mais caro e mais dificil de achar",mulher_cis,parda,superior
977,por motivos conscientes que e o principal e questoes econômicas em segundo,escola_universidade,etica_animal,ambientes que proporcionem e substituam o consumo de carne,mulher_cis,branca,mestrado
